begin_acc2_0,0.76666667_0
begin_label_acc_0,0.8_0,0.7666666666666667_0,0.9333333333333333_0,0.9_0,0.9_0,0.8333333333333334_0
acc2_0,0.80000000_0
label_acc_0,0.8333333333333334_0,0.7666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9_0,0.8333333333333334_0
acc2_0,0.83333333_0
label_acc_0,0.8666666666666667_0,0.8333333333333334_0,0.9333333333333333_0,0.9_0,0.9_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.8666666666666667_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.8666666666666667_0,0.8666666666666667_0,0.9333333333333333_0,1.0_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,1.0_0,0.9333333333333333_0,0.8333333333333334_0
acc2_0,0.86666667_0
label_acc_0,0.8666666666666667_0,0.8666666666666667_0,0.9333333333333333_0,1.0_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,1.0_0,0.9333333333333333_0,0.8333333333333334_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.9_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.8666666666666667_0
acc2_0,0.86666667_0
label_acc_0,0.9_0,0.8666666666666667_0,0.9333333333333333_0,0.9666666666666667_0,0.9333333333333333_0,0.8666666666666667_0
acc2_1,0.86666667
label_acc,0.9,0.8666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.8333333333333334
acc2_1,0.86666667
label_acc,0.9,0.8666666666666667,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.8666666666666667
